Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,049,587",-,-,"$822,049,587",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$432,880,073","$96,880,073",22.4%,"$336,000,000",77.6%
4,Impasse,"$164,780,200","$107,364",<0.1%,"$164,672,836",99.9%
5,F9,"$163,005,000",-,-,"$163,005,000",100%
6,A Writer's Odyssey,"$149,528,951","$133,527",<0.1%,"$149,395,424",99.9%
7,Sister,"$128,290,899",-,-,"$128,290,899",100%
8,Tom and Jerry,"$114,538,157","$45,638,157",39.8%,"$68,900,000",60.2%
9,My Love,"$113,129,554",-,-,"$113,129,554",100%
10,Raya and the Last Dragon,"$111,641,532","$48,306,284",43.3%,"$63,335,248",56.7%
11,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
12,Detective Conan: The Scarlet Bullet,"$85,250,020",-,-,"$85,250,020",100%
13,Mortal Kombat,"$79,654,419","$41,254,419",51.8%,"$38,400,000",48.2%
14,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
15,Evangelion: 3.0+1.0 Thrice Upon a Time,"$77,345,701",-,-,"$77,345,701",100%
16,Wrath of Man,"$71,052,122","$18,852,122",26.5%,"$52,200,000",73.5%
17,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
18,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
19,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
20,Nobody,"$45,845,110","$25,745,110",56.2%,"$20,100,000",43.8%
21,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
22,I Fell in Love Like A Flower Bouquet,"$34,422,973",-,-,"$34,422,973",100%
23,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
24,Once Upon a Time in Hong Kong,"$32,191,941",-,-,"$32,191,941",100%
25,Home Sweet Home,"$32,174,403",-,-,"$32,174,403",100%
26,Love Will Tear Us Apart,"$30,700,000",-,-,"$30,700,000",100%
27,Peter Rabbit 2: The Runaway,"$30,200,000",-,-,"$30,200,000",100%
28,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
29,The Unholy,"$29,023,292","$15,223,292",52.5%,"$13,800,000",47.5%
30,Master,"$28,692,230",-,-,"$28,692,230",100%
31,The Last Warrior: Root of Evil,"$28,354,705",-,-,"$28,354,705",100%
32,Rurouni Kenshin: Final Chapter Part I - The Final,"$24,121,576",-,-,"$24,121,576",100%
33,Spiral,"$22,593,020","$15,873,020",70.3%,"$6,720,000",29.7%
34,The Marksman,"$22,500,221","$15,566,093",69.2%,"$6,934,128",30.8%
35,Chaos Walking,"$21,887,908","$13,287,908",60.7%,"$8,600,000",39.3%
36,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
37,The Dry,"$17,295,875","$119,364",0.7%,"$17,176,511",99.3%
38,Bo Gia,"$17,130,489",-,-,"$17,130,489",100%
39,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
40,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
41,Minari,"$14,114,516","$3,110,580",22%,"$11,003,936",78%
42,Man in Love,"$13,300,000",-,-,"$13,300,000",100%
43,Nomadland,"$13,256,370","$2,143,000",16.2%,"$11,113,370",83.8%
44,Those Who Wish Me Dead,"$13,126,737","$5,626,737",42.9%,"$7,500,000",57.1%
45,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
46,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
47,The Courier,"$10,962,660","$6,535,121",59.6%,"$4,427,539",40.4%
48,Krack,"$10,442,916",-,-,"$10,442,916",100%
49,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
50,"Caution, Hazardous Wife: The Movie","$10,279,120",-,-,"$10,279,120",100%
51,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
52,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
53,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
54,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
55,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
56,Dad,"$7,189,680",-,-,"$7,189,680",100%
57,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
58,Lat Mat 5: 48H,"$6,781,370",-,-,"$6,781,370",100%
59,Judas and the Black Messiah,"$6,446,607","$5,446,607",84.5%,"$1,000,000",15.5%
60,Penguin Bloom,"$6,248,836",-,-,"$6,248,836",100%
61,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
62,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
63,Suicide Forest Village,"$5,647,904",-,-,"$5,647,904",100%
64,Octonauts: The Ring of Fire,"$5,500,110",-,-,"$5,500,110",100%
65,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
66,Chernobyl: Abyss,"$5,256,502",-,-,"$5,256,502",100%
67,Red,"$4,920,261",-,-,"$4,920,261",100%
68,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
69,Palma,"$4,679,882",-,-,"$4,679,882",100%
70,Major Grom: Plague Doctor,"$4,426,141",-,-,"$4,426,141",100%
71,Separation,"$4,392,451","$4,392,451",100%,-,-
72,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
73,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
74,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
75,Seobok,"$4,119,613",-,-,"$4,119,613",100%
76,Voyagers,"$4,088,386","$3,149,935",77%,"$938,451",23%
77,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
78,V2. Escape from Hell,"$4,083,435",-,-,"$4,083,435",100%
79,77 Heartwarmings,"$4,019,281",-,-,"$4,019,281",100%
80,Prababushka lyogkogo povedeniya,"$3,903,180",-,-,"$3,903,180",100%
81,Karnan,"$3,817,585",-,-,"$3,817,585",100%
82,The Mauritanian,"$3,777,673","$836,536",22.1%,"$2,941,137",77.9%
83,Wrong Turn,"$3,776,966","$1,251,184",33.1%,"$2,525,782",66.9%
84,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
85,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
86,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
87,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
88,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
89,The Girl Who Believes in Miracles,"$3,119,775","$3,119,775",100%,-,-
90,Land,"$2,854,859","$2,577,830",90.3%,"$277,029",9.7%
91,Endless Rain,"$2,846,654","$7,334",0.3%,"$2,839,320",99.7%
92,The Book of Fish,"$2,622,158",-,-,"$2,622,158",100%
93,Recalled,"$2,604,455",-,-,"$2,604,455",100%
94,Here Today,"$2,460,294","$2,460,294",100%,-,-
95,High Ground,"$2,422,865",-,-,"$2,422,865",100%
96,Roohi,"$2,306,525",-,-,"$2,306,525",100%
97,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
98,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
99,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
100,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
101,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
102,Finding You,"$2,078,673","$1,907,658",91.8%,"$171,015",8.2%
103,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
104,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
105,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
106,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
107,French Exit,"$1,524,562","$703,219",46.1%,"$821,343",53.9%
