,Release Group,Worldwide,Domestic,%,Foreign,%.1,Year
0,Independence Day,"$306,169,268","$306,169,268",100%,-,-,1996
1,Twister,"$241,721,524","$241,721,524",100%,-,-,1996
2,The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%,1996
3,Mission: Impossible,"$180,981,856","$180,981,856",100%,-,-,1996
4,Jerry Maguire,"$153,952,592","$153,952,592",100%,-,-,1996
5,Ransom,"$136,492,681","$136,492,681",100%,-,-,1996
6,101 Dalmatians,"$136,189,294","$136,189,294",100%,-,-,1996
7,The Rock,"$134,069,511","$134,069,511",100%,-,-,1996
8,The Nutty Professor,"$128,814,019","$128,814,019",100%,-,-,1996
9,The Birdcage,"$124,060,553","$124,060,553",100%,-,-,1996
10,A Time to Kill,"$108,766,007","$108,766,007",100%,-,-,1996
11,The First Wives Club,"$105,489,203","$105,489,203",100%,-,-,1996
12,Phenomenon,"$104,636,382","$104,636,382",100%,-,-,1996
13,Scream,"$103,046,663","$103,046,663",100%,-,-,1996
14,Eraser,"$101,295,562","$101,295,562",100%,-,-,1996
15,The Hunchback of Notre Dame,"$100,138,851","$100,138,851",100%,-,-,1996
16,Michael,"$95,318,203","$95,318,203",100%,-,-,1996
17,Star Trek: First Contact,"$92,027,888","$92,027,888",100%,-,-,1996
18,Space Jam,"$90,418,342","$90,418,342",100%,-,-,1996
19,The English Patient,"$78,676,425","$78,676,425",100%,-,-,1996
20,Broken Arrow,"$70,770,147","$70,770,147",100%,-,-,1996
21,Evita,"$68,265,837","$50,047,179",73.3%,"$18,218,658",26.7%,1996
22,Beavis and Butt-Head Do America,"$63,118,386","$63,118,386",100%,-,-,1996
23,Jingle All the Way,"$60,592,389","$60,592,389",100%,-,-,1996
24,The Cable Guy,"$60,240,295","$60,240,295",100%,-,-,1996
25,Courage Under Fire,"$59,031,057","$59,031,057",100%,-,-,1996
26,Jack,"$58,620,973","$58,620,973",100%,-,-,1996
27,Executive Decision,"$56,569,216","$56,569,216",100%,-,-,1996
28,Primal Fear,"$56,116,183","$56,116,183",100%,-,-,1996
29,Tin Cup,"$53,854,588","$53,854,588",100%,-,-,1996
30,Sleepers,"$53,315,285","$53,315,285",100%,-,-,1996
31,DragonHeart,"$51,367,375","$51,367,375",100%,-,-,1996
32,Up Close & Personal,"$51,088,705","$51,088,705",100%,-,-,1996
33,The Preacher's Wife,"$48,102,795","$48,102,795",100%,-,-,1996
34,Romeo + Juliet,"$46,351,345","$46,351,345",100%,-,-,1996
35,One Fine Day,"$46,151,454","$46,151,454",100%,-,-,1996
36,The Mirror Has Two Faces,"$41,083,864","$41,083,864",100%,-,-,1996
37,Happy Gilmore,"$38,824,099","$38,824,099",100%,-,-,1996
38,The Ghost and the Darkness,"$38,619,405","$38,619,405",100%,-,-,1996
39,Mars Attacks!,"$37,771,017","$37,771,017",100%,-,-,1996
40,Set It Off,"$36,461,139","$36,461,139",100%,-,-,1996
41,Shine,"$35,999,081","$35,892,330",99.7%,"$106,751",0.3%,1996
42,The Truth About Cats & Dogs,"$34,861,807","$34,861,807",100%,-,-,1996
43,A Thin Line Between Love and Hate,"$34,767,836","$34,767,836",100%,-,-,1996
44,Muppet Treasure Island,"$34,327,391","$34,327,391",100%,-,-,1996
45,Matilda,"$33,459,416","$33,459,416",100%,-,-,1996
46,The Long Kiss Goodnight,"$33,447,612","$33,447,612",100%,-,-,1996
47,Striptease,"$33,109,743","$33,109,743",100%,-,-,1996
48,Daylight,"$33,023,469","$33,023,469",100%,-,-,1996
49,Homeward Bound II: Lost in San Francisco,"$32,772,492","$32,772,492",100%,-,-,1996
50,Black Sheep,"$32,417,995","$32,417,995",100%,-,-,1996
51,Rumble in the Bronx,"$32,392,047","$32,392,047",100%,-,-,1996
52,Eddie,"$31,387,164","$31,387,164",100%,-,-,1996
53,Sgt. Bilko,"$30,356,793","$30,356,793",100%,-,-,1996
54,James and the Giant Peach,"$28,946,127","$28,946,127",100%,-,-,1996
55,The Island of Dr. Moreau,"$27,663,982","$27,663,982",100%,-,-,1996
56,Spy Hard,"$26,960,191","$26,960,191",100%,-,-,1996
57,Eye for an Eye,"$26,877,589","$26,877,589",100%,-,-,1996
58,Harriet the Spy,"$26,570,048","$26,570,048",100%,-,-,1996
59,First Kid,"$26,491,793","$26,491,793",100%,-,-,1996
60,That Thing You Do!,"$25,857,416","$25,857,416",100%,-,-,1996
61,From Dusk Till Dawn,"$25,836,684","$25,836,616",100%,$68,<0.1%,1996
62,Down Periscope,"$25,785,603","$25,785,603",100%,-,-,1996
63,Escape from L.A.,"$25,477,365","$25,477,365",100%,-,-,1996
64,Fly Away Home,"$25,143,818","$25,143,818",100%,-,-,1996
65,Kingpin,"$25,023,434","$25,023,434",100%,-,-,1996
66,The Craft,"$24,819,936","$24,819,936",100%,-,-,1996
67,Fargo,"$24,611,975","$24,611,975",100%,-,-,1996
68,Sling Blade,"$24,444,121","$24,444,121",100%,-,-,1996
69,D3: The Mighty Ducks,"$22,955,097","$22,955,097",100%,-,-,1996
70,The Juror,"$22,754,725","$22,754,725",100%,-,-,1996
71,My Fellow Americans,"$22,313,201","$22,313,201",100%,-,-,1996
72,Emma,"$22,231,658","$22,231,658",100%,-,-,1996
73,The Quest,"$21,686,547","$21,686,547",100%,-,-,1996
74,Bulletproof,"$21,576,954","$21,576,954",100%,-,-,1996
75,A Very Brady Sequel,"$21,440,752","$21,440,752",100%,-,-,1996
76,High School High,"$21,302,121","$21,302,121",100%,-,-,1996
77,Chain Reaction,"$21,226,204","$21,226,204",100%,-,-,1996
78,Multiplicity,"$21,075,014","$21,075,014",100%,-,-,1996
79,Oliver & Company 1996 Re-release,"$20,872,291","$20,872,291",100%,-,-,1996
80,Fear,"$20,831,000","$20,831,000",100%,-,-,1996
81,The Glimmer Man,"$20,351,264","$20,351,264",100%,-,-,1996
82,City Hall,"$20,340,204","$20,340,204",100%,-,-,1996
83,The People vs. Larry Flynt,"$20,300,385","$20,300,385",100%,-,-,1996
84,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"$20,109,115","$20,109,115",100%,-,-,1996
85,Flipper,"$20,080,020","$20,080,020",100%,-,-,1996
86,Mother,"$19,145,198","$19,145,198",100%,-,-,1996
87,Bed of Roses,"$19,030,691","$19,030,691",100%,-,-,1996
88,Kazaam,"$18,937,262","$18,937,262",100%,-,-,1996
89,The Fan,"$18,626,419","$18,626,419",100%,-,-,1996
90,Last Man Standing,"$18,115,927","$18,115,927",100%,-,-,1996
91,The Crow: City of Angels,"$17,917,287","$17,917,287",100%,-,-,1996
