,Movie,Genre,Duration,Year,Imdb_rating,Metascore_rating,Votes
0,Titanic,"Drama, Romance  ",194,1997,78,75,1072285
1,Good Will Hunting,"Drama, Romance  ",126,1997,83,70,882633
2,Life Is Beautiful,"Comedy, Drama, Romance  ",116,1997,86,59,638656
3,L.A. Confidential,"Crime, Drama, Mystery  ",138,1997,82,90,541978
4,Men in Black,"Action, Adventure, Comedy  ",98,1997,73,71,525446
5,The Fifth Element,"Action, Adventure, Sci-Fi  ",126,1997,77,52,441890
6,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi  ",129,1997,66,59,385802
7,The Game,"Drama, Mystery, Thriller  ",129,1997,78,61,357560
8,Face/Off,"Action, Crime, Sci-Fi  ",138,1997,72,82,355019
9,Princess Mononoke,"Animation, Action, Adventure  ",134,1997,84,76,354013
10,The Devil's Advocate,"Drama, Mystery, Thriller  ",144,1997,75,60,339992
11,Jackie Brown,"Crime, Drama, Thriller  ",154,1997,75,64,323363
12,Liar Liar,"Comedy, Fantasy  ",86,1997,69,70,287629
13,Donnie Brasco,"Biography, Crime, Drama  ",127,1997,77,76,285956
14,Gattaca,"Drama, Sci-Fi, Thriller  ",106,1997,78,64,285546
15,Con Air,"Action, Crime, Thriller  ",115,1997,69,52,280903
16,As Good as It Gets,"Comedy, Drama, Romance  ",139,1997,77,67,280653
17,Starship Troopers,"Action, Adventure, Sci-Fi  ",129,1997,72,51,274479
18,Contact,"Drama, Mystery, Sci-Fi  ",150,1997,75,62,259133
19,Boogie Nights,Drama  ,155,1997,79,85,244247
20,Batman & Robin,"Action, Sci-Fi  ",125,1997,38,28,237514
21,Alien: Resurrection,"Action, Horror, Sci-Fi  ",109,1997,62,63,233141
22,Austin Powers: International Man of Mystery,"Adventure, Comedy  ",89,1997,70,51,225392
23,Cube,"Drama, Mystery, Sci-Fi  ",90,1997,72,61,216879
24,Hercules,"Animation, Adventure, Comedy  ",93,1997,73,74,211263
25,Tomorrow Never Dies,"Action, Adventure, Thriller  ",119,1997,65,52,183952
26,Air Force One,"Action, Drama, Thriller  ",124,1997,65,61,183553
27,Event Horizon,"Horror, Sci-Fi, Thriller  ",96,1997,67,35,163269
28,Scream 2,"Horror, Mystery  ",120,1997,62,63,160333
29,I Know What You Did Last Summer,"Horror, Mystery  ",101,1997,57,52,135736
30,Lost Highway,"Mystery, Thriller  ",134,1997,76,52,133794
31,Chasing Amy,"Comedy, Drama, Romance  ",113,1997,72,71,133498
32,Seven Years in Tibet,"Adventure, Biography, Drama  ",136,1997,71,55,133440
